submission_date,state,tot_cases,new_case,tot_death,new_death
2021-02-05,NE,193419,352.0,1968,10.0
2021-02-05,SC,459974,6096.0,7553,66.0
2021-02-05,ND,98106,11.0,1428,2.0
2021-02-05,MI,619499,1754.0,15750,25.0
2021-02-05,MO,465448,2329.0,7142,25.0
2021-02-05,IA,323509,800.0,5067,34.0
2021-02-05,WA,319371,1493.0,4449,33.0
2021-02-05,NH,67595,478.0,1091,6.0
2021-02-05,ME,41063,266.0,634,1.0
2021-02-05,NY,832327,4894.0,16686,92.0
2021-02-05,AK,53279,165.0,277,0.0
2021-02-05,DC,37634,269.0,940,8.0
2021-02-05,MS,280778,1036.0,6266,44.0
2021-02-05,VI,2449,9.0,24,0.0
2021-02-05,OR,146137,817.0,2002,11.0
2021-02-05,CT,259372,1431.0,7214,29.0
2021-02-05,DE,79546,321.0,1191,56.0
2021-02-05,VT,12612,109.0,181,0.0
2021-02-05,NM,176793,582.0,3378,23.0
2021-02-05,MT,95458,347.0,1307,-1.0
2021-02-05,OK,403185,0.0,3718,0.0
2021-02-05,OH,914530,3683.0,11571,62.0
2021-02-05,KY,374268,2256.0,3971,50.0
2021-02-05,WI,598902,1427.0,6575,30.0
2021-02-05,WY,52576,108.0,624,0.0
2021-02-05,TX,2462886,14493.0,38128,401.0
2021-02-05,RMI,4,0.0,0,0.0
2021-02-05,AL,469319,1496.0,8449,84.0
2021-02-05,NV,282493,897.0,4463,39.0
2021-02-05,FL,1731931,11171.0,27457,210.0
2021-02-05,SD,108944,131.0,1798,10.0
2021-02-05,GU,7636,0.0,129,0.0
2021-02-05,CO,402714,1863.0,5704,27.0
2021-02-05,CA,3308468,14021.0,43024,558.0
2021-02-05,VA,526177,4710.0,6774,42.0
2021-02-05,ID,164969,404.0,1758,11.0
2021-02-05,MA,520044,2982.0,14771,74.0
2021-02-05,WV,123641,597.0,2100,20.0
2021-02-05,AS,3,0.0,0,0.0
2021-02-05,AR,304723,1824.0,5050,41.0
2021-02-05,MP,133,0.0,2,0.0
2021-02-05,IN,635171,1481.0,11686,49.0
2021-02-05,AZ,775622,3826.0,13948,196.0
2021-02-05,NJ,713324,4228.0,21886,93.0
2021-02-05,FSM,1,0.0,0,0.0
2021-02-05,PA,861674,4688.0,22239,138.0
2021-02-05,TN,739031,2661.0,10405,203.0
2021-02-05,KS,281562,2647.0,4101,206.0
2021-02-05,RI,117891,600.0,2212,3.0
2021-02-05,PW,0,0.0,0,0.0
2021-02-05,NYC,634339,5447.0,27610,104.0
2021-02-05,LA,409861,866.0,9076,32.0
2021-02-05,HI,25535,91.0,413,0.0
2021-02-05,PR,95355,291.0,1872,4.0
2021-02-05,MD,362084,1500.0,7329,42.0
2021-02-05,UT,352489,1216.0,1728,17.0
2021-02-04,AZ,771796,4417.0,13752,176.0
2021-02-04,VI,2440,0.0,24,0.0
2021-02-04,WI,597475,1719.0,6545,49.0
2021-02-04,KY,372012,2493.0,3921,58.0
2021-02-04,DE,79225,243.0,1135,5.0
2021-02-04,DC,37365,166.0,932,6.0
2021-02-04,NV,281596,889.0,4424,51.0
2021-02-04,CO,400851,1584.0,5677,13.0
2021-02-04,PA,856986,3370.0,22101,146.0
2021-02-04,LA,408995,2760.0,9044,38.0
2021-02-04,FSM,1,0.0,0,0.0
2021-02-04,MS,279742,1210.0,6222,40.0
2021-02-04,TX,2448393,15283.0,37727,439.0
2021-02-04,GU,7636,14.0,129,0.0
2021-02-04,MI,617745,1885.0,15725,81.0
2021-02-04,TN,736370,3154.0,10202,169.0
2021-02-04,KS,278915,0.0,3895,0.0
2021-02-04,SD,108813,174.0,1788,6.0
2021-02-04,CT,257941,937.0,7185,28.0
2021-02-04,OH,910847,4120.0,11509,79.0
2021-02-04,ID,164565,402.0,1747,-1.0
2021-02-04,GA,928070,5706.0,14756,169.0
2021-02-04,OK,403185,2659.0,3718,27.0
2021-02-04,MT,95111,301.0,1308,5.0
2021-02-04,NY,827433,4475.0,16594,81.0
2021-02-04,MO,463119,0.0,7117,0.0
2021-02-04,ND,98095,61.0,1426,4.0
2021-02-04,ME,40797,264.0,633,2.0
2021-02-04,WV,123044,574.0,2080,22.0
2021-02-04,UT,351273,1273.0,1711,14.0
2021-02-04,SC,453878,3084.0,7487,93.0
2021-02-04,AS,3,0.0,0,0.0
2021-02-04,IN,633690,2359.0,11637,1546.0
2021-02-04,AL,467823,2767.0,8365,162.0
2021-02-04,NH,67117,396.0,1085,9.0
2021-02-04,NC,781802,5495.0,9728,150.0
2021-02-04,VT,12503,174.0,181,2.0
2021-02-04,WY,52468,180.0,624,0.0
2021-02-04,MD,360584,1547.0,7287,36.0
2021-02-04,VA,521467,5069.0,6732,82.0
2021-02-04,PW,0,0.0,0,0.0
2021-02-04,RI,117291,587.0,2209,11.0
2021-02-04,NYC,628892,3871.0,27506,77.0
2021-02-04,WA,317878,1584.0,4416,28.0
2021-02-04,FL,1720760,8434.0,27247,228.0
2021-02-04,CA,3294447,13176.0,42466,655.0
2021-02-04,NE,193067,520.0,1958,27.0
2021-02-04,AR,302899,2469.0,5009,24.0
2021-02-04,AK,53114,158.0,277,0.0
2021-02-04,HI,25444,101.0,413,2.0
2021-02-04,PR,95064,80.0,1868,7.0
2021-02-04,MA,517062,2602.0,14697,74.0
2021-02-04,OR,145320,715.0,1991,0.0
2021-02-04,IA,322709,873.0,5033,58.0
2021-02-04,IL,1137559,3328.0,21497,77.0
2021-02-04,NM,176211,559.0,3355,17.0
2021-02-04,NJ,709096,3289.0,21793,100.0
2021-02-04,MP,133,0.0,2,0.0
2021-02-04,MN,465176,1410.0,6319,17.0
2021-02-04,RMI,4,0.0,0,0.0
2021-02-03,NM,175652,670.0,3338,28.0
2021-02-03,KY,369519,2581.0,3863,51.0
2021-02-03,DC,37199,61.0,926,5.0
2021-02-03,MO,463119,2632.0,7117,29.0
2021-02-03,PW,0,0.0,0,0.0
2021-02-03,TX,2433110,17620.0,37288,418.0
2021-02-03,NV,280707,750.0,4373,49.0
2021-02-03,NJ,705807,2311.0,21693,109.0
2021-02-03,MS,278532,1210.0,6182,24.0
2021-02-03,OK,400526,2698.0,3691,27.0
2021-02-03,GU,7622,4.0,129,0.0
2021-02-03,VI,2440,10.0,24,0.0
2021-02-03,RMI,4,0.0,0,0.0
2021-02-03,MT,94810,426.0,1303,54.0
2021-02-03,NH,66721,337.0,1076,10.0
2021-02-03,CT,257004,482.0,7157,24.0
2021-02-03,UT,350000,1591.0,1697,12.0
2021-02-03,TN,733216,1856.0,10033,133.0
2021-02-03,ID,164163,507.0,1748,7.0
2021-02-03,AR,300430,2426.0,4985,46.0
2021-02-03,ND,98034,98.0,1422,0.0
2021-02-03,OR,144605,627.0,1991,10.0
2021-02-03,MA,514460,2186.0,14623,53.0
2021-02-03,GA,922364,4924.0,14587,137.0
2021-02-03,PR,94984,322.0,1861,8.0
2021-02-03,DE,78982,286.0,1130,22.0
2021-02-03,WA,316294,1602.0,4388,72.0
2021-02-03,NE,192547,507.0,1931,0.0
2021-02-03,NY,822958,3342.0,16513,107.0
2021-02-03,AL,465056,2118.0,8203,309.0
2021-02-03,FSM,1,0.0,0,0.0
2021-02-03,IA,321836,1218.0,4975,56.0
2021-02-03,AK,52956,181.0,277,0.0
2021-02-03,NYC,625021,3331.0,27429,74.0
2021-02-03,ME,40533,300.0,631,4.0
2021-02-03,MP,133,0.0,2,0.0
2021-02-03,KS,278915,2247.0,3895,86.0
2021-02-03,IL,1134231,3314.0,21420,84.0
2021-02-03,CO,399267,1269.0,5664,14.0
2021-02-03,VA,516398,3059.0,6650,75.0
2021-02-03,FL,1712326,6694.0,27019,197.0
2021-02-03,LA,406235,2041.0,9006,53.0
2021-02-03,WY,52288,160.0,624,0.0
2021-02-03,WI,595756,1539.0,6496,16.0
2021-02-03,NC,776307,12079.0,9578,169.0
2021-02-03,SD,108639,208.0,1782,3.0
2021-02-03,MD,359037,1554.0,7251,31.0
2021-02-03,MI,615860,1717.0,15644,35.0
2021-02-03,AZ,767379,2296.0,13576,214.0
2021-02-03,VT,12329,133.0,179,3.0
2021-02-03,SC,450794,2890.0,7394,76.0
2021-02-03,AS,3,0.0,0,0.0
2021-02-03,OH,906727,3991.0,11430,94.0
2021-02-03,CA,3281271,10501.0,41811,481.0
2021-02-03,WV,122470,535.0,2058,27.0
2021-02-03,IN,631331,1428.0,10091,37.0
2021-02-03,PA,853616,3128.0,21955,143.0
2021-02-03,MN,463766,634.0,6302,24.0
2021-02-03,HI,25343,68.0,411,4.0
2021-02-03,RI,116704,513.0,2198,12.0
2021-02-02,MD,357483,942.0,7220,32.0
2021-02-02,IL,1130917,2304.0,21336,63.0
2021-02-02,TN,731360,2173.0,9900,147.0
2021-02-02,IA,320618,804.0,4919,13.0
2021-02-02,WY,52128,71.0,624,28.0
2021-02-02,VA,513339,2959.0,6575,58.0
2021-02-02,SC,447904,1988.0,7318,35.0
2021-02-02,LA,404194,2603.0,8953,41.0
2021-02-02,NE,192040,1090.0,1931,11.0
2021-02-02,TX,2415490,23047.0,36870,331.0
2021-02-02,OK,397828,1947.0,3664,50.0
2021-02-02,IN,629903,1512.0,10054,65.0
2021-02-02,PW,0,0.0,0,0.0
2021-02-02,ME,40233,274.0,627,9.0
2021-02-02,AK,52775,107.0,277,17.0
2021-02-02,WV,121935,510.0,2031,3.0
2021-02-02,GU,7618,8.0,129,0.0
2021-02-02,AL,462938,2078.0,7894,206.0
2021-02-02,AZ,765083,2938.0,13362,238.0
2021-02-02,VT,12196,113.0,176,1.0
2021-02-02,NV,279957,811.0,4324,46.0
2021-02-02,SD,108431,116.0,1779,1.0
2021-02-02,FSM,1,0.0,0,0.0
2021-02-02,HI,25275,62.0,407,0.0
2021-02-02,DC,37138,130.0,921,5.0
2021-02-02,NM,174982,432.0,3310,15.0
2021-02-02,PA,850488,4410.0,21812,125.0
2021-02-02,MS,277322,791.0,6158,26.0
2021-02-02,ND,97936,138.0,1422,0.0
2021-02-02,GA,917440,4961.0,14450,208.0
2021-02-02,FL,1705632,10332.0,26822,137.0
